X0microM_TR.Df;X0microM_TR.Sum.Sq;X0microM_TR.Mean.Sq;X0microM_TR.F.value;X0microM_TR.Pr..F.;X0microM_TS.Df;X0microM_TS.Sum.Sq;X0microM_TS.Mean.Sq;X0microM_TS.F.value;X0microM_TS.Pr..F.;X500microM_TR.Df;X500microM_TR.Sum.Sq;X500microM_TR.Mean.Sq;X500microM_TR.F.value;X500microM_TR.Pr..F.;X500microM_TS.Df;X500microM_TS.Sum.Sq;X500microM_TS.Mean.Sq;X500microM_TS.F.value;X500microM_TS.Pr..F.;X50microM_TR.Df;X50microM_TR.Sum.Sq;X50microM_TR.Mean.Sq;X50microM_TR.F.value;X50microM_TR.Pr..F.;X50microM_TS.Df;X50microM_TS.Sum.Sq;X50microM_TS.Mean.Sq;X50microM_TS.F.value;X50microM_TS.Pr..F.
Treatment;2;1605169.42222222;802584.71111111;37.1627404454634;8.17431386063908e-12;2;108694419.622222;54347209.811111;81.9370137781528;2.80211176992348e-19;2;1275540.38479917;637770.192399587;23.6810286453285;1.32016266326368e-08;2;111611879.466667;55805939.7333333;99.3423036096284;1.9737026193245e-21;2;825856.066666666;412928.033333333;12.5989276332093;2.0338986964402e-05;2;81525743.7555555;40762871.8777777;49.2695782447081;3.29838913308188e-14
Time;5;5533395.52222222;1106679.10444444;51.2434734246926;2.28449793285347e-22;5;177037808.888889;35407561.7777778;53.3824990706963;7.29470818094472e-23;5;5085980.97074572;1017196.19414914;37.7694857781514;1.04754519736266e-18;5;193973575.6;38794715.12;69.059967206288;4.37674166579321e-26;5;5698447.03333333;1139689.40666667;34.773285414937;6.50684556432152e-18;5;201437802.988889;40287560.5977778;48.6950753890024;9.34698839773598e-22
Treatment:Time;10;2750199.24444444;275019.924444444;12.734473916542;1.93872145132545e-12;10;145841262.111111;14584126.2111111;21.98787673655;3.9902496538072e-18;10;2581131.45569106;258113.145569106;9.5839925835358;6.90370997977274e-10;10;176164286.933333;17616428.6933333;31.3596835056102;2.37606158521869e-22;10;2321307.8;232130.78;7.08258743067602;1.20855176275347e-07;10;152582662.111111;15258266.2111111;18.4424773411698;3.53388571287682e-16
Residuals;72;1554947.2;21596.4888888889;NA;NA;72;47756184;663280.333333333;NA;NA;71;1912150.2;26931.6929577465;NA;NA;72;40446290.4;561754.033333333;NA;NA;72;2359789.6;32774.8555555556;NA;NA;72;59568741.6;827343.633333333;NA;NA
