$`0然_TR`
$`0然_TR`$`0`
       Value groups
C  -31.64486      a
Fe -32.11116      a
P  -33.06804      a

$`0然_TR`$`3`
       Value groups
C  -33.55737      a
Fe -34.78958      a
P  -35.33865      a

$`0然_TR`$`7`
       Value groups
P  -35.68880      a
C  -36.22037     ab
Fe -36.69435      b

$`0然_TR`$`10`
       Value groups
P  -34.46808      a
C  -35.85646      b
Fe -37.55805      c

$`0然_TR`$`14`
       Value groups
P  -34.97385      a
C  -36.14225      b
Fe -36.59935      b

$`0然_TR`$`17`
       Value groups
P  -35.05932      a
C  -36.43684     ab
Fe -37.36110      b


$`0然_TS`
$`0然_TS`$`0`
       Value groups
Fe -35.35228      a
P  -35.48771      a
C  -35.75688      a

$`0然_TS`$`3`
       Value groups
Fe -37.11182      a
C  -37.22791      a
P  -37.36841      a

$`0然_TS`$`7`
       Value groups
P  -37.02825      a
C  -37.35706     ab
Fe -37.90726      b

$`0然_TS`$`10`
       Value groups
P  -36.57718      a
C  -38.14933      b
Fe -38.16304      b

$`0然_TS`$`14`
       Value groups
P  -36.67579      a
C  -37.18360      b
Fe -37.39928      b

$`0然_TS`$`17`
       Value groups
P  -35.27977      a
C  -36.80349      b
Fe -38.06012      c


$`50然_TR`
$`50然_TR`$`0`
       Value groups
P  16.688050      a
C  16.113589      a
Fe  6.047048      a

$`50然_TR`$`3`
      Value groups
Fe 31.32636      a
C  25.88849      a
P  11.36782      a

$`50然_TR`$`7`
       Value groups
P  25.905900      a
Fe -6.687983      a
C  -9.064233      a

$`50然_TR`$`10`
        Value groups
Fe   7.028643      a
P    1.685796      a
C  -24.131509      b

$`50然_TR`$`14`
         Value groups
P    4.4031450      a
Fe   0.9001057     ab
C  -11.0465768      b

$`50然_TR`$`17`
        Value groups
P   -1.881198      a
Fe -18.871846      a
C  -20.868214      a


$`50然_TS`
$`50然_TS`$`0`
       Value groups
C  -34.58510      a
P  -34.65915      a
Fe -35.07473      a

$`50然_TS`$`3`
       Value groups
P  -36.66549      a
Fe -36.72421      a
C  -36.90607      a

$`50然_TS`$`7`
       Value groups
P  -36.53411      a
Fe -37.05502      a
C  -37.15522      a

$`50然_TS`$`10`
       Value groups
P  -36.67337      a
Fe -36.90064     ab
C  -37.68584      b

$`50然_TS`$`14`
       Value groups
P  -36.09050      a
Fe -36.97700     ab
C  -37.43568      b

$`50然_TS`$`17`
       Value groups
P  -35.65289      a
Fe -37.34136      b
C  -37.42422      b


$`500然_TR`
$`500然_TR`$`0`
      Value groups
C  143.5857      a
Fe 137.2669      a
P  119.6185      a

$`500然_TR`$`3`
      Value groups
Fe 264.6380      a
P  262.9497      a
C  167.4422      a

$`500然_TR`$`7`
      Value groups
Fe 126.3864      a
P  118.0302      a
C  101.0002      a

$`500然_TR`$`10`
       Value groups
P  129.85572      a
Fe  41.27536      b
C   35.09190      b

$`500然_TR`$`14`
      Value groups
Fe 54.12514      a
P  50.53493      a
C  49.60353      a

$`500然_TR`$`17`
      Value groups
Fe 48.61308      a
P  45.64438      a
C  36.82872      a


$`500然_TS`
$`500然_TS`$`0`
       Value groups
C  -33.77901      a
P  -34.63537     ab
Fe -34.71919      b

$`500然_TS`$`3`
       Value groups
Fe -35.76890      a
P  -35.80507      a
C  -36.14951      a

$`500然_TS`$`7`
       Value groups
Fe -34.09807      a
P  -35.06063      a
C  -35.07438      a

$`500然_TS`$`10`
       Value groups
Fe -34.85778      a
P  -35.73695     ab
C  -36.86241      b

$`500然_TS`$`14`
       Value groups
P  -33.81086      a
Fe -34.34759      a
C  -35.89645      b

$`500然_TS`$`17`
       Value groups
Fe -33.30479      a
P  -33.73677      a
C  -36.93538      b


