Time;Treatment;Species_Tissue;Value
17;C;50microM_TR;1955
17;C;50microM_TR;723
17;C;50microM_TR;1978
17;C;500microM_TR;1185
17;C;500microM_TR;2314
17;C;500microM_TR;1162
17;C;500microM_TR;1331
17;C;500microM_TR;606
17;P;0microM_TR;102
17;P;0microM_TR;347
17;P;0microM_TR;322
17;P;0microM_TR;325
17;P;0microM_TR;153
17;P;50microM_TR;382
17;P;50microM_TR;286
17;P;50microM_TR;360
17;P;50microM_TR;176
17;P;50microM_TR;258
17;P;500microM_TR;345
17;P;500microM_TR;313
17;P;500microM_TR;343
17;P;500microM_TR;240
17;P;500microM_TR;185
17;Fe;0microM_TR;304
17;Fe;0microM_TR;328
17;Fe;0microM_TR;435
17;Fe;0microM_TR;546
17;Fe;0microM_TR;1101
17;Fe;50microM_TR;229
17;Fe;50microM_TR;1110
17;Fe;50microM_TR;598
17;Fe;50microM_TR;478
17;Fe;50microM_TR;621
17;Fe;500microM_TR;332
17;Fe;500microM_TR;465
17;Fe;500microM_TR;333
17;Fe;500microM_TR;548
17;Fe;500microM_TR;
0;C;0microM_TS;150
0;C;0microM_TS;107
0;C;0microM_TS;104
0;C;0microM_TS;146
0;C;0microM_TS;135
0;C;50microM_TS;134
0;C;50microM_TS;105
0;C;50microM_TS;145
0;C;50microM_TS;136
0;C;50microM_TS;103
0;C;500microM_TS;96
0;C;500microM_TS;100
0;C;500microM_TS;108
0;C;500microM_TS;150
0;C;500microM_TS;128
0;P;0microM_TS;148
0;P;0microM_TS;164
0;P;0microM_TS;101
0;P;0microM_TS;78
0;P;0microM_TS;140
0;P;50microM_TS;125
0;P;50microM_TS;117
0;P;50microM_TS;144
0;P;50microM_TS;122
0;P;50microM_TS;118
0;P;500microM_TS;126
0;P;500microM_TS;105
0;P;500microM_TS;92
0;P;500microM_TS;148
0;P;500microM_TS;119
0;Fe;0microM_TS;121
0;Fe;0microM_TS;110
0;Fe;0microM_TS;85
0;Fe;0microM_TS;163
0;Fe;0microM_TS;121
0;Fe;50microM_TS;98
0;Fe;50microM_TS;94
0;Fe;50microM_TS;106
0;Fe;50microM_TS;44
0;Fe;50microM_TS;92
0;Fe;500microM_TS;99
0;Fe;500microM_TS;120
0;Fe;500microM_TS;96
0;Fe;500microM_TS;126
0;Fe;500microM_TS;152
3;C;0microM_TS;237
3;C;0microM_TS;330
3;C;0microM_TS;259
3;C;0microM_TS;221
3;C;0microM_TS;307
3;C;50microM_TS;253
3;C;50microM_TS;250
3;C;50microM_TS;173
3;C;50microM_TS;262
3;C;50microM_TS;341
3;C;500microM_TS;382
3;C;500microM_TS;492
3;C;500microM_TS;338
3;C;500microM_TS;223
3;C;500microM_TS;197
3;P;0microM_TS;207
3;P;0microM_TS;303
3;P;0microM_TS;206
3;P;0microM_TS;299
3;P;0microM_TS;168
3;P;50microM_TS;227
3;P;50microM_TS;288
3;P;50microM_TS;272
3;P;50microM_TS;325
3;P;50microM_TS;228
3;P;500microM_TS;259
3;P;500microM_TS;183
3;P;500microM_TS;310
3;P;500microM_TS;397
3;P;500microM_TS;205
3;Fe;0microM_TS;274
3;Fe;0microM_TS;260
3;Fe;0microM_TS;186
3;Fe;0microM_TS;236
3;Fe;0microM_TS;205
3;Fe;50microM_TS;281
3;Fe;50microM_TS;295
3;Fe;50microM_TS;306
3;Fe;50microM_TS;149
3;Fe;50microM_TS;261
3;Fe;500microM_TS;175
3;Fe;500microM_TS;238
3;Fe;500microM_TS;322
3;Fe;500microM_TS;172
3;Fe;500microM_TS;230
7;C;0microM_TS;1001
