Treatment;variable;N;mean;sd;se
1;C;E;9;0.394205982154612;0.169337594080424;0.0564458646934748
2;C;A;9;2.07333333333333;0.458830033890546;0.152943344630182
3;C;gs;9;0.0176716879314267;0.00772092950143391;0.00257364316714464
4;Fe;E;11;0.414849564165337;0.186870261123946;0.0563435036930786
5;Fe;A;11;1.36363636363636;0.187790986326433;0.0566211127868672
6;Fe;gs;11;0.0182629851280847;0.00817917950848976;0.00246611541114764
7;P;E;9;0.195507877575588;0.138290782557555;0.0460969275191851
8;P;A;10;1.035;0.583861665503435;0.184633270145021
9;P;gs;9;0.00861623086278097;0.00611480710489336;0.00203826903496445
