X0然_TR.Df;X0然_TR.Sum.Sq;X0然_TR.Mean.Sq;X0然_TR.F.value;X0然_TR.Pr..F.;X0然_TS.Df;X0然_TS.Sum.Sq;X0然_TS.Mean.Sq;X0然_TS.F.value;X0然_TS.Pr..F.;X50然_TR.Df;X50然_TR.Sum.Sq;X50然_TR.Mean.Sq;X50然_TR.F.value;X50然_TR.Pr..F.;X50然_TS.Df;X50然_TS.Sum.Sq;X50然_TS.Mean.Sq;X50然_TS.F.value;X50然_TS.Pr..F.;X500然_TR.Df;X500然_TR.Sum.Sq;X500然_TR.Mean.Sq;X500然_TR.F.value;X500然_TR.Pr..F.;X500然_TS.Df;X500然_TS.Sum.Sq;X500然_TS.Mean.Sq;X500然_TS.F.value;X500然_TS.Pr..F.
Treatment;2;19.9110286398457;9.95551431992285;14.0163286219162;7.22544958576167e-06;2;13.858105070561;6.92905253528052;32.8061852274705;7.45247862780786e-11;2;2532.24234395458;1266.12117197729;4.02458191708094;0.0221586086050506;2;11.0684591538126;5.53422957690628;15.3140586385596;2.87329916481851e-06;2;17196.470891181;8598.23544559048;2.31988468647022;0.105691344212735;2;26.5478464116939;13.273923205847;12.1391048838083;2.8639250401037e-05
Time;5;183.329943110881;36.6659886221762;51.6218981019802;1.86179034833554e-22;5;42.8752868489927;8.57505736979854;40.5993343213132;1.22936832955678e-19;5;12559.5154248367;2511.90308496733;7.98451203326113;5.33577656586893e-06;5;56.5381766523846;11.3076353304769;31.2899542940851;8.74952934812748e-17;5;368912.37230879;73782.474461758;19.9072046487741;2.37866955825219e-12;5;32.3509940613016;6.47019881226031;5.91704658698968;0.000122896496588055
Treatment:Time;10;40.6004828633674;4.06004828633674;5.71612567401585;2.94384864752638e-06;10;17.7799955966963;1.77799955966963;8.41808928304241;6.63131510406909e-09;10;6698.27540788992;669.827540788992;2.12916099018564;0.0331239181177146;10;8.38814281952873;0.838814281952873;2.32112725397063;0.0197667080857557;10;46186.8558956193;4618.68558956193;1.24616475539064;0.277715744817188;10;40.890301820274;4.0890301820274;3.73944955707021;0.000447481924585276
Residuals;72;51.1401416426302;0.71027974503653;NA;NA;72;15.2072476297076;0.211211772634827;NA;NA;70;22021.7860797559;314.596943996513;NA;NA;72;26.0195248654691;0.361382289798182;NA;NA;71;263148.733295783;3706.32018726455;NA;NA;72;78.7308850173762;1.09348451413022;NA;NA
