Species_Tissue;Time;Treatment;Value
50然_TR;7;Fe;0.01512315
50然_TR;3;P;0.016010709
50然_TR;7;C;0.017197978
50然_TR;17;P;0.017479417
50然_TR;0;P;0.018344648
50然_TR;14;C;0.01934478
50然_TR;17;C;0.020952896
50然_TR;17;P;0.021110964
50然_TR;3;Fe;0.021339909
50然_TR;7;C;0.021407648
50然_TR;10;C;0.021629525
50然_TR;14;C;0.022693257
50然_TR;10;C;0.024629348
50然_TR;17;P;0.026121604
50然_TR;17;Fe;0.026882075
50然_TR;17;P;0.026953453
50然_TR;0;Fe;0.027254517
50然_TR;14;P;0.029309056
50然_TR;10;P;0.030078478
50然_TR;10;P;0.030169328
50然_TR;10;P;0.030549516
50然_TR;17;C;0.030654584
50然_TR;14;C;0.030769053
50然_TR;7;Fe;0.031346264
50然_TR;0;C;0.031416355
50然_TR;3;P;0.032084325
50然_TR;14;C;0.033451382
50然_TR;7;C;0.03454694
50然_TR;3;C;0.034551869
50然_TR;14;C;0.035230674
500然_TR;17;P;0.035874364
50然_TR;14;Fe;0.036105186
50然_TR;7;P;0.036640326
50然_TR;7;C;0.037187785
50然_TR;0;C;0.0376791
50然_TR;7;Fe;0.038389287
50然_TR;14;P;0.039220184
50然_TR;14;P;0.039647786
50然_TR;14;Fe;0.039860566
50然_TR;0;Fe;0.039907977
50然_TR;3;P;0.040343686
50然_TR;0;Fe;0.040417715
50然_TR;17;Fe;0.040887567
50然_TR;0;Fe;0.042079364
50然_TR;7;C;0.042641365
500然_TR;7;Fe;0.043889639
50然_TR;14;P;0.045792538
50然_TR;7;Fe;0.045824898
50然_TR;10;Fe;0.046215332
50然_TR;10;Fe;0.046411337
50然_TR;10;P;0.046493963
50然_TR;0;P;0.046521422
50然_TR;7;P;0.04683104
50然_TR;14;Fe;0.047494596
50然_TR;0;C;0.048853149
50然_TR;14;Fe;0.050037671
50然_TR;3;Fe;0.051109047
50然_TR;10;Fe;0.052997035
500然_TR;17;C;0.053548315
50然_TR;0;Fe;0.054211471
50然_TR;7;Fe;0.054931094
500然_TR;17;Fe;0.055564051
50然_TR;3;C;0.055862224
50然_TR;10;P;0.056869488
50然_TR;14;Fe;0.057016556
50然_TR;3;C;0.057180745
50然_TR;3;C;0.057275472
50然_TR;14;P;0.05788058
500然_TR;10;C;0.058451093
50然_TR;0;P;0.059194637
500然_TR;14;P;0.059434275
500然_TR;10;C;0.05962093
500然_TR;10;C;0.059690051
50然_TR;10;Fe;0.060302731
50然_TR;0;P;0.060700691
500然_TR;7;C;0.061564229
50然_TR;10;Fe;0.062066118
500然_TR;10;C;0.063261498
500然_TR;17;P;0.065798023
500然_TR;3;C;0.065930622
50然_TR;0;P;0.066020362
500然_TR;10;Fe;0.066423767
500然_TR;14;Fe;0.066728884
50然_TR;7;P;0.069233586
500然_TR;10;Fe;0.069832586
500然_TR;0;P;0.069945049
50然_TR;3;C;0.070719192
50然_TR;3;P;0.071939567
50然_TR;0;C;0.072027045
500然_TR;14;C;0.075668561
500然_TR;17;C;0.075876166
50然_TR;3;Fe;0.076070302
500然_TR;17;C;0.079527267
500然_TR;14;P;0.079552304
500然_TR;14;C;0.079862757
500然_TR;17;P;0.083331077
50然_TR;17;P;0.083519493
500然_TR;0;P;0.085025464
50然_TR;0;C;0.085793566
500然_TR;17;Fe;0.086682082
500然_TR;7;C;0.088125446
500然_TR;10;Fe;0.08881555
500然_TR;3;Fe;0.090209852
50然_TR;3;Fe;0.091186505
500然_TR;14;Fe;0.091733306
500然_TR;14;Fe;0.091891942
500然_TR;17;C;0.092096099
50然_TR;3;P;0.093756691
50然_TR;3;Fe;0.093775787
500然_TR;14;C;0.096145931
500然_TR;0;Fe;0.096763451
500然_TR;14;C;0.09956184
500然_TR;14;P;0.103148858
500然_TR;17;Fe;0.105048846
500然_TR;14;P;0.106519859
500然_TR;7;P;0.110700168
500然_TR;10;Fe;0.116329511
500然_TR;14;Fe;0.116511627
500然_TR;17;P;0.11674896
500然_TR;7;C;0.118746543
500然_TR;0;Fe;0.12001162
50然_TR;7;P;0.123306134
500然_TR;17;C;0.124918439
500然_TR;14;C;0.126072637
500然_TR;10;P;0.130557769
500然_TR;3;C;0.13524116
500然_TR;10;Fe;0.140423399
500然_TR;14;P;0.141171412
500然_TR;0;C;0.145951966
500然_TR;10;P;0.152454655
500然_TR;0;Fe;0.15720509
500然_TR;17;P;0.158517762
500然_TR;14;Fe;0.160100077
500然_TR;7;P;0.160558055
500然_TR;10;C;0.162329103
500然_TR;0;P;0.16372714
500然_TR;17;Fe;0.164324028
500然_TR;10;P;0.17192518
500然_TR;3;Fe;0.178749068
500然_TR;10;P;0.182808764
500然_TR;3;C;0.185382366
